task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
72	b4/4ebc19	2805419	fastsurfer (72)	COMPLETED	0	2025-10-27 00:01:12.458	54m 45s	54m 45s	867.6%	12.9 GB	525.6 GB	3.5 GB	396.3 MB
285	db/204f7d	3607027	nifti_converter (29)	COMPLETED	0	2025-10-27 00:55:58.949	1.8s	1.2s	100.1%	73.5 MB	112 MB	7.6 MB	80 MB
286	14/eaf6b5	3608041	roi_creator (29)	COMPLETED	0	2025-10-27 00:56:01.720	2m 44s	2m 43s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
27	35/f4d72e	2988397	fastsurfer (27)	COMPLETED	0	2025-10-27 00:10:28.579	1h 8m 52s	1h 8m 51s	1260.0%	12.7 GB	525.4 GB	3.6 GB	403.2 MB
287	55/02a5ed	3806996	nifti_converter (30)	COMPLETED	0	2025-10-27 01:19:21.337	1.9s	1.4s	100.0%	73.5 MB	112 MB	7.1 MB	80 MB
288	02/52259a	3807514	roi_creator (30)	COMPLETED	0	2025-10-27 01:19:24.239	2m 34s	2m 33s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
31	7a/2f0d36	2994988	fastsurfer (31)	COMPLETED	0	2025-10-27 00:10:47.915	1h 11m 36s	1h 11m 36s	1099.7%	12.5 GB	525 GB	3.6 GB	414.3 MB
289	24/1c038b	3877212	nifti_converter (31)	COMPLETED	0	2025-10-27 01:22:24.391	1.6s	1s	100.3%	11.3 MB	62.4 MB	7.4 MB	80 MB
290	ca/bec440	3878554	roi_creator (31)	COMPLETED	0	2025-10-27 01:22:26.987	2m 19s	2m 18s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
67	ec/5c8e09	2920311	fastsurfer (67)	COMPLETED	0	2025-10-27 00:08:31.219	1h 16m 36s	1h 16m 36s	1134.8%	12.5 GB	525 GB	3.7 GB	420.9 MB
291	a4/2938a2	3953223	nifti_converter (32)	COMPLETED	0	2025-10-27 01:25:08.409	1.4s	848ms	100.7%	13.5 MB	62.4 MB	7.3 MB	80 MB
292	7f/bcb588	3954057	roi_creator (32)	COMPLETED	0	2025-10-27 01:25:10.850	2m 13s	2m 12s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
19	00/108b29	3394253	fastsurfer (19)	COMPLETED	0	2025-10-27 00:41:35.927	46m 58s	46m 58s	875.8%	13 GB	525.7 GB	3.4 GB	372 MB
293	cb/4d4dbd	4042007	nifti_converter (33)	COMPLETED	0	2025-10-27 01:28:34.152	1.7s	1s	99.8%	13.5 MB	62.4 MB	7.1 MB	80 MB
294	9c/fbe7f8	4043174	roi_creator (33)	COMPLETED	0	2025-10-27 01:28:36.812	2m 13s	2m 12s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
34	3b/f6f61b	3255842	fastsurfer (34)	COMPLETED	0	2025-10-27 00:28:10.699	1h 4m 49s	1h 4m 48s	969.6%	12.9 GB	525.6 GB	3.7 GB	421.9 MB
295	c2/b539a8	4149291	nifti_converter (34)	COMPLETED	0	2025-10-27 01:33:00.387	1.5s	913ms	100.2%	10.5 MB	62.4 MB	7.4 MB	80 MB
